ID	S	M	FC
I385	0	20.1	s
I386	0	19.4	bl
I387	0	19.2	bl
I388	1	18.7	bl
I389	0	28.5	bl
I390	0	19.3	bl
I391	0	26.2	bl
I392	0	17.8	s
I393	1	28.2	bl
I394	0	22.6	bl
I395	0	21.0	s
I396	0	18.2	bl
I397	0	25.8	bl
I398	1	18.0	br
I399	0	27.4	s
I400	1	29.5	bl
I401	1	21.2	bl
I402	0	30.1	bl
I403	0	23.2	bl
I404	1	37.1	bl
I405	1	19.5	bl
I406	1	31.6	bl
I407	1	22.7	bl
I408	1	25.6	bl
I409	0	23.5	bl
I410	1	38.7	bl
I411	0	25.1	bl
I412	0	18.9	s
I413	0	19.0	bl
I414	1	28.1	bl
I415	1	32.3	bl
I416	0	19.2	br
I417	1	22.5	bl
I418	0	26.0	br
I419	1	26.0	bl
I420	1	29.9	bl
I421	0	25.9	br
I422	1	21.9	bl
I423	1	36.0	bl
I424	1	19.2	bl
I425	1	16.3	bl
I426	0	26.7	br
I427	1	27.2	s
I428	0	20.3	bl
I429	1	31.8	bl
I430	0	18.7	br
I431	0	23.5	bl
I432	1	29.8	s
I433	1	25.7	br
I434	0	22.4	br
I435	0	22.1	bl
I436	1	31.5	s
I437	1	27.3	bl
I438	0	23.2	bl
I439	1	30.5	bl
I440	0	21.7	br
I441	1	24.2	bl
I442	1	30.7	s
I443	0	21.2	bl
I444	0	23.4	bl
I445	1	24.5	br
I446	0	20.3	bl
I447	0	20.7	bl
I448	1	21.3	bl
I449	1	28.8	bl
I450	0	26.1	bl
I451	0	19.9	br
I452	0	27.8	bl
I453	0	19.1	bl
I454	1	24.2	bl
I455	1	25.1	bl
I456	1	31.3	bl
I457	0	22.2	br
I458	1	29.6	br
I459	1	32.5	bl
I460	0	22.3	bl
I461	1	20.6	br
I462	0	24.7	bl
I463	1	23.2	br
I464	0	26.8	bl
I465	1	29.3	bl
I466	1	17.1	bl
I467	0	17.8	bl
I468	0	20.7	bl
I469	0	16.9	bl
I470	1	24.5	bl
I471	0	17.6	bl
I472	0	22.6	bl
I473	1	23.1	s
I474	0	17.4	bl
I475	0	15.9	bl
I476	1	23.9	bl
I477	1	16.4	br
I478	1	25.2	bl
I479	0	25.7	br
I480	1	19.1	bl
I481	0	16.4	bl
I482	1	18.7	bl
I483	0	20.1	bl
I484	0	17.1	br
I485	0	30.3	bl
I486	1	29.6	bl
I487	0	26.8	bl
I488	1	13.9	bl
I489	1	27.9	bl
I490	0	20.5	bl
I491	1	23.6	bl
I492	1	27.9	br
I493	1	30.1	bl
I494	1	23.5	br
